# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: C:\Users\gsm3\Downloads\SD-Project-2-master\SDProject2.csv
# Generated on: Mon Jun 04 15:37:42 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_AB23,5,B5_N2,,
,Unknown,PIN_AF27,5,B5_N2,,
,Unknown,PIN_AE26,5,B5_N2,,
,Unknown,PIN_AA24,5,B5_N2,,
,Unknown,PIN_AA23,5,B5_N2,,
,Unknown,PIN_AD26,5,B5_N2,,
,Unknown,PIN_AC26,5,B5_N2,,
,Unknown,PIN_AE28,5,B5_N2,,
,Unknown,PIN_AE27,5,B5_N2,,
,Unknown,PIN_AD28,5,B5_N2,,
,Unknown,PIN_AD27,5,B5_N2,,
,Unknown,PIN_Y24,5,B5_N2,,
,Unknown,PIN_Y23,5,B5_N2,,
,Unknown,PIN_AC28,5,B5_N2,,
,Unknown,PIN_AC27,5,B5_N2,,
,Unknown,PIN_AB26,5,B5_N1,,
,Unknown,PIN_AB25,5,B5_N1,,
,Unknown,PIN_AA26,5,B5_N1,,
,Unknown,PIN_AA25,5,B5_N1,,
,Unknown,PIN_AB28,5,B5_N1,,
,Unknown,PIN_AB27,5,B5_N1,,
,Unknown,PIN_Y26,5,B5_N1,,
,Unknown,PIN_Y25,5,B5_N1,,
,Unknown,PIN_W26,5,B5_N1,,
,Unknown,PIN_W25,5,B5_N1,,
,Unknown,PIN_W27,5,B5_N1,,
,Unknown,PIN_W28,5,B5_N1,,
,Unknown,PIN_V28,5,B5_N1,,
,Unknown,PIN_V27,5,B5_N1,,
,Unknown,PIN_U23,5,B5_N1,,
,Unknown,PIN_V26,5,B5_N1,,
,Unknown,PIN_V25,5,B5_N1,,
,Unknown,PIN_V24,5,B5_N1,,
,Unknown,PIN_V23,5,B5_N1,,
,Unknown,PIN_W21,5,B5_N1,,
,Unknown,PIN_V21,5,B5_N1,,
,Unknown,PIN_V22,5,B5_N1,,
,Unknown,PIN_U22,5,B5_N0,,
,Unknown,PIN_U26,5,B5_N0,,
,Unknown,PIN_U25,5,B5_N0,,
,Unknown,PIN_U24,5,B5_N0,,
,Unknown,PIN_U28,5,B5_N0,,
,Unknown,PIN_U27,5,B5_N0,,
,Unknown,PIN_U21,5,B5_N0,,
,Unknown,PIN_Y22,5,B5_N0,,
,Unknown,PIN_W22,5,B5_N0,,
,Unknown,PIN_T26,5,B5_N0,,
,Unknown,PIN_T25,5,B5_N0,,
,Unknown,PIN_T22,5,B5_N0,,
,Unknown,PIN_T21,5,B5_N0,,
,Unknown,PIN_R26,5,B5_N0,,
